Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
D. Mathieu,Willem II Tilburg,2,0,1092,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
S. Ouaissa,NEC Nijmegen,34,1970,1093,2,33.0,14,7,4.1227,4.344,3.6649,22,14,16,14,6,95,451,351,32,45,7,25,Midfielder
RBR. Bounida,AFC Ajax,3,13,1094,0,,0,0,0.0,,0.0,0,0,0,1,0,1,9,8,0,0,0,0,Midfielder
K. Smit,AZ Alkmaar,28,1152,1095,0,22.0,4,0,1.112,1.15,1.4907,28,23,6,7,13,61,568,483,21,6,3,24,Midfielder
A. Lachkar,Willem II Tilburg,28,2130,1096,2,16.0,5,0,0.7145,0.765,0.7848,65,58,24,44,5,137,1109,947,96,21,0,14,Midfielder
J. Schreuders,FC Groningen,32,1960,1097,1,20.0,12,5,2.3878,2.339,3.0475,35,7,10,5,6,72,566,449,38,19,2,22,Midfielder
G. Zechiël,Feyenoord,30,1282,1098,3,20.0,5,2,2.1769,2.088,1.6965,29,38,19,9,9,69,596,510,42,3,4,18,Midfielder
G. Besselink,Willem II Tilburg,33,389,1099,0,,0,0,0.0,,0.1081,7,10,3,8,0,20,132,103,16,1,0,1,Midfielder
T. Land,FC Groningen,23,41,1100,0,1.0,0,0,0.0416,0.042,0.0275,0,0,0,0,1,2,45,42,0,0,0,0,Midfielder
M. Witteveen,RKC Waalwijk,2,0,1101,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
ASA. Sliti,Feyenoord,12,90,1102,0,4.0,3,1,0.3835,0.387,0.1529,1,0,1,2,0,4,22,16,0,2,0,3,Midfielder
N. Fichtinger,PEC Zwolle,32,851,1103,0,8.0,2,0,0.246,0.246,0.5495,49,27,9,14,4,69,372,288,34,4,0,10,Midfielder
HKH. Kuster,RKC Waalwijk,25,21,1104,0,1.0,1,0,0.0452,0.045,0.0,0,0,0,0,0,1,5,4,0,0,0,0,Midfielder
IHI. Henstra,SC Cambuur,1,15,1105,0,1.0,0,0,0.0,,0.0,1,0,0,0,1,1,3,3,0,0,0,0,Midfielder
J. Mokio,AFC Ajax,16,505,1106,0,7.0,1,1,0.9071,0.907,0.3556,13,9,5,5,2,30,204,172,16,5,0,4,Midfielder
KBK. Boogaard,AZ Alkmaar,2,0,1107,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
M. Linday,SC Heerenveen,16,1357,1108,2,10.0,4,2,1.2579,1.261,1.318,37,20,15,11,3,79,745,630,43,4,1,8,Midfielder
