,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
64,1184,Defender,LaLiga,J. Cruz,Osasuna,37,1514,0,4.0,0,0,0.12,0.13,0.18,26,62,9,9,0,38,517,426,50,11,0,2,0.0,0.0,0.0,0,0.0,0.24,0.0,2.26,30.73,25.32,2.97,0.65,0.0,0.12,1.55,3.69,0.54,0.54,0.0,0.0,0.01,0.01,0.01
65,1185,Defender,LaLiga,A. Catena,Osasuna,36,3076,3,20.0,5,1,2.27,2.27,1.84,46,219,35,68,3,135,1510,1271,292,2,4,10,0.0,0.03,0.09,4,0.12,0.59,0.15,3.95,44.18,37.19,8.54,0.06,0.12,0.29,1.35,6.41,1.02,1.99,0.09,0.0,0.07,0.07,0.05
66,1186,Defender,LaLiga,J. Areso,Athletic Club,37,3088,3,8.0,0,0,0.22,0.22,3.13,53,86,8,27,2,124,1038,840,83,169,4,30,0.0,0.0,0.09,3,0.09,0.23,0.0,3.61,30.25,24.48,2.42,4.93,0.12,0.87,1.54,2.51,0.23,0.79,0.06,0.0,0.01,0.01,0.09
67,1187,Defender,LaLiga,D. Vivian,Athletic Club,35,2613,0,18.0,5,4,1.92,1.93,0.71,40,147,47,45,2,114,1740,1521,237,8,1,10,0.0,0.14,0.0,4,0.14,0.62,0.17,3.93,59.93,52.39,8.16,0.28,0.03,0.34,1.38,5.06,1.62,1.55,0.07,0.0,0.07,0.07,0.02
68,1188,Defender,LaLiga,L. Costa,Villarreal,35,2585,1,12.0,5,2,0.7,0.66,0.47,38,109,21,46,0,87,1531,1346,202,5,0,4,0.0,0.07,0.03,3,0.1,0.42,0.17,3.03,53.3,46.86,7.03,0.17,0.0,0.14,1.32,3.79,0.73,1.6,0.0,0.0,0.02,0.02,0.02
69,1189,Defender,LaLiga,J. Copete,Valencia,34,1537,0,6.0,2,0,0.46,0.46,0.12,30,120,16,27,1,73,758,638,112,7,0,0,0.0,0.0,0.0,0,0.0,0.35,0.12,4.27,44.39,37.36,6.56,0.41,0.0,0.0,1.76,7.03,0.94,1.58,0.06,0.0,0.03,0.03,0.01
70,1190,Defender,LaLiga,R. Araújo,Barcelona,20,766,1,4.0,2,1,0.95,0.96,0.25,12,22,9,33,0,49,718,660,48,0,1,4,0.0,0.12,0.12,2,0.23,0.47,0.23,5.76,84.36,77.55,5.64,0.0,0.12,0.47,1.41,2.58,1.06,3.88,0.0,0.0,0.11,0.11,0.03
71,1191,Defender,LaLiga,A. Pedrosa,Elche,34,2303,1,24.0,8,1,0.9,0.9,1.66,56,70,24,11,5,103,890,699,125,97,4,21,0.0,0.04,0.04,2,0.08,0.94,0.31,4.03,34.78,27.32,4.88,3.79,0.16,0.82,2.19,2.74,0.94,0.43,0.2,0.0,0.04,0.03,0.06
72,1192,Defender,LaLiga,J. Pacheco,Deportivo Alavés,29,851,0,1.0,0,0,0.09,0.09,0.35,15,48,9,19,1,40,492,410,68,0,0,1,0.0,0.0,0.0,0,0.0,0.11,0.0,4.23,52.03,43.36,7.19,0.0,0.0,0.11,1.59,5.08,0.95,2.01,0.11,0.0,0.01,0.01,0.04
73,1193,Defender,LaLiga,J. Herrando,Osasuna,38,1389,0,12.0,3,1,1.24,1.2,0.05,17,62,12,29,2,49,720,620,80,2,0,0,0.0,0.06,0.0,1,0.06,0.78,0.19,3.17,46.65,40.17,5.18,0.13,0.0,0.0,1.1,4.02,0.78,1.88,0.13,0.0,0.08,0.08,0.0
